Date,Rainfall (mm),Max Temp (°C),Min Temp (°C),Usage(L),Usage(kWh),Avg Temp (°C)
2013/10/21,12.4,16.2,8.9,97.0,975.0,12.55
2013/10/22,3.5,15.9,11.5,228.0,1880.0,13.7
2013/10/23,0.6,12.2,7.4,211.0,1879.0,9.8
2013/10/24,18.4,13.9,6.9,219.0,1858.0,10.4
2013/10/25,6.1,15.8,8.7,196.0,1896.0,12.25
2013/10/26,7.7,12.4,9.3,149.0,1707.0,10.850000000000001
2013/10/27,3.1,13.0,8.0,98.0,1084.0,10.5
2013/10/28,1.0,10.3,6.4,72.0,1067.0,8.350000000000001
2013/10/29,0.6,10.6,3.7,87.0,1332.0,7.15
2013/10/30,1.5,12.9,4.4,107.0,1642.0,8.65
2013/10/31,1.1,12.9,5.9,150.0,1850.0,9.4
2013/11/11,0.3,13.3,2.8,123.0,1164.0,8.05
2013/11/12,0.0,10.1,4.4,194.0,2069.0,7.25
2013/11/13,2.7,11.2,2.3,220.0,2033.0,6.75
2013/11/14,0.0,9.0,3.4,228.0,2101.0,6.2
2013/11/15,0.0,10.0,5.4,220.0,2011.0,7.7
2013/11/16,0.3,10.4,6.8,173.0,1963.0,8.6
2013/11/17,3.0,12.5,7.4,100.0,1204.0,9.95
2013/11/18,0.0,8.0,4.2,94.0,1069.0,6.1
2013/11/19,2.1,7.3,-0.6,233.0,2007.0,3.35
2013/11/20,0.2,7.0,-0.4,213.0,2109.0,3.3
2013/11/21,0.0,4.9,0.5,215.0,2155.0,2.7
2013/11/22,0.0,4.9,-2.0,205.0,2196.0,1.4500000000000002
2013/11/23,0.1,5.5,-1.7,189.0,2029.0,1.9
2013/11/24,0.0,6.9,0.2,243.0,1498.0,3.5500000000000003
2013/11/25,0.0,6.5,4.4,271.0,1286.0,5.45
2013/11/26,0.0,7.4,2.3,289.0,2293.0,4.85
2013/11/27,0.0,8.9,2.7,206.0,2292.0,5.800000000000001
2013/11/28,0.1,9.5,5.0,211.0,2251.0,7.25
2013/11/29,0.0,9.1,5.4,207.0,2158.0,7.25
2013/11/30,0.2,8.1,3.7,168.0,1974.0,5.9
2013/12/11,1.9,13.0,8.4,243.0,2097.0,10.7
2013/12/12,5.8,12.7,8.6,200.0,2133.0,10.649999999999999
2013/12/13,0.8,10.9,8.6,190.0,2028.0,9.75
2013/12/14,7.4,11.4,2.4,158.0,1820.0,6.9
2013/12/15,3.5,9.6,3.1,97.0,1220.0,6.35
2013/12/16,0.2,8.2,2.0,106.0,1177.0,5.1
2013/12/17,1.3,9.1,0.3,158.0,1859.0,4.7
2013/12/18,21.7,11.5,0.9,164.0,1811.0,6.2
2013/12/19,1.2,5.6,1.4,115.0,1727.0,3.5
2013/12/19,1.2,5.6,1.4,115.0,0.0,3.5
2013/12/19,1.2,5.6,1.4,115.0,0.0,3.5
2013/12/19,1.2,5.6,1.4,0.0,1727.0,3.5
2013/12/19,1.2,5.6,1.4,0.0,0.0,3.5
2013/12/19,1.2,5.6,1.4,0.0,0.0,3.5
2013/12/19,1.2,5.6,1.4,0.0,1727.0,3.5
2013/12/19,1.2,5.6,1.4,0.0,0.0,3.5
2013/12/19,1.2,5.6,1.4,0.0,0.0,3.5
2013/12/20,9.6,11.0,0.7,109.0,1719.0,5.85
2013/12/21,8.5,8.4,4.9,111.0,1595.0,6.65
2013/12/22,6.6,10.2,1.3,85.0,1120.0,5.75
2013/12/23,0.8,10.4,0.7,89.0,1183.0,5.55
2013/12/24,0.2,5.1,0.6,92.0,1458.0,2.8499999999999996
2013/12/25,0.0,3.3,-1.3,95.0,1295.0,0.9999999999999999
2013/12/26,6.6,10.9,0.1,88.0,1304.0,5.5
2013/12/27,1.3,6.0,1.3,98.0,1304.0,3.65
2013/12/28,0.0,4.0,-0.1,92.0,1269.0,1.95
2013/12/29,31.6,10.0,-0.6,96.0,1173.0,4.7
2013/12/30,6.9,8.8,0.5,90.0,1156.0,4.65
2013/12/31,6.8,6.9,2.9,99.0,1256.0,4.9
2014/01/01,1.0,9.4,2.7,88.0,1315.0,6.050000000000001
2014/01/02,7.2,9.0,2.7,151.0,2042.0,5.85
2014/01/03,3.5,6.1,3.9,140.0,1944.0,5.0
2014/01/04,3.3,7.5,0.6,175.0,2000.0,4.05
2014/01/05,9.7,10.7,0.0,204.0,1801.0,5.35
2014/01/06,3.8,9.9,6.3,69.0,883.0,8.1
2014/01/07,1.0,8.4,5.3,102.0,946.0,6.85
2014/01/08,8.2,6.5,4.1,117.0,826.0,5.3
2014/01/09,1.1,8.3,1.9,252.0,717.0,5.1000000000000005
2014/01/10,3.0,8.3,2.0,353.0,1717.0,5.15
2014/01/11,0.6,8.3,-0.2,259.0,1905.0,4.050000000000001
2014/01/12,8.0,9.3,0.0,233.0,1297.0,4.65
2014/01/13,0.3,5.7,1.4,113.0,1264.0,3.55
2014/01/14,7.5,8.5,-1.1,198.0,2144.0,3.7
2014/01/15,2.1,12.2,2.0,185.0,2169.0,7.1
2014/01/16,7.1,7.5,4.7,183.0,2041.0,6.1
2014/01/17,4.7,7.8,3.7,162.0,1976.0,5.75
2014/01/18,2.0,4.4,3.4,138.0,1868.0,3.9000000000000004
2014/01/19,1.0,4.8,0.5,161.0,1447.0,2.65
2014/01/20,0.9,8.1,0.7,109.0,1326.0,4.3999999999999995
2014/01/21,0.5,9.1,0.4,220.0,2192.0,4.75
2014/01/22,2.2,7.7,3.7,219.0,2139.0,5.7
2014/01/23,13.0,10.3,2.7,230.0,2148.0,6.5
2014/01/24,2.1,11.3,3.9,208.0,2125.0,7.6000000000000005
2014/01/25,11.7,9.7,5.9,168.0,1979.0,7.8
2014/01/26,10.6,7.4,2.4,126.0,1398.0,4.9
2014/01/27,7.1,6.5,0.4,109.0,1334.0,3.45
2014/01/28,0.3,5.9,3.3,207.0,2353.0,4.6
2014/01/29,0.0,7.4,2.0,208.0,2290.0,4.7
2014/01/30,10.9,5.8,2.3,211.0,2309.0,4.05
2014/01/31,9.2,8.4,3.4,204.0,2279.0,5.9
2014/02/01,8.7,7.4,0.2,99.0,1308.0,3.8000000000000003
2014/02/02,7.4,9.7,1.7,125.0,1387.0,5.699999999999999
2014/02/03,1.7,7.4,4.7,75.0,1285.0,6.050000000000001
2014/02/04,28.1,6.9,0.1,192.0,1997.0,3.5
2014/02/05,6.9,7.4,1.0,192.0,1718.0,4.2
2014/02/06,0.0,6.0,2.4,72.0,931.0,4.2
2014/02/07,10.3,7.4,-0.7,109.0,939.0,3.35
2014/02/08,9.6,7.6,-0.5,111.0,834.0,3.55
2014/02/09,5.0,6.7,2.3,220.0,1028.0,4.5
2014/02/10,4.3,6.7,0.0,336.0,1789.0,3.35
2014/02/11,8.0,7.1,0.4,228.0,885.0,3.75
2014/02/12,2.7,9.0,-0.2,391.0,2424.0,4.4
2014/02/13,3.1,6.4,-0.5,210.0,2265.0,2.95
2014/02/14,11.9,8.5,0.0,138.0,1961.0,4.25
2014/02/15,0.2,8.0,1.9,150.0,2016.0,4.95
2014/02/16,8.5,8.1,-0.3,110.0,1269.0,3.9
2014/02/17,6.1,9.1,4.8,103.0,1221.0,6.949999999999999
2014/02/18,0.3,9.5,3.7,216.0,2154.0,6.6
2014/02/19,3.9,10.1,3.4,213.0,2076.0,6.75
2014/02/20,1.6,7.7,5.1,205.0,2096.0,6.4
2014/02/21,2.3,7.9,0.7,182.0,2113.0,4.3
2014/02/22,4.7,9.4,2.2,181.0,1936.0,5.800000000000001
2014/02/23,8.7,10.0,4.2,283.0,1240.0,7.1
2014/02/24,8.9,8.7,3.5,94.0,1184.0,6.1
2014/02/25,0.8,8.8,4.3,224.0,2266.0,6.550000000000001
2014/02/26,4.1,9.7,2.7,191.0,2176.0,6.199999999999999
2014/02/27,7.7,7.6,2.3,234.0,2270.0,4.949999999999999
2014/02/28,1.1,8.4,0.3,179.0,2220.0,4.3500000000000005
2014/03/01,1.3,8.0,0.9,170.0,1490.0,4.45
2014/03/02,3.2,8.2,3.2,104.0,1190.0,5.699999999999999
2014/03/03,0.3,8.4,0.7,79.0,1227.0,4.55
2014/03/04,0.0,9.7,2.0,172.0,2006.0,5.85
2014/03/05,4.1,11.2,2.3,142.0,1552.0,6.75
2014/03/06,13.6,11.2,4.2,75.0,925.0,7.699999999999999
2014/03/07,0.5,9.7,5.8,92.0,928.0,7.75
2014/03/08,0.4,10.0,4.4,104.0,744.0,7.2
2014/03/09,2.3,12.0,7.7,136.0,1169.0,9.85
2014/03/10,0.0,10.4,0.2,342.0,1803.0,5.3
2014/03/11,0.0,10.9,1.4,205.0,1095.0,6.15
2014/03/12,0.0,11.2,-0.6,345.0,2369.0,5.3
2014/03/13,0.3,10.6,1.7,256.0,2261.0,6.1499999999999995
2014/03/14,0.0,9.8,2.1,199.0,2102.0,5.95
2014/03/15,0.0,13.3,5.0,150.0,1857.0,9.15
2014/03/16,0.1,10.2,6.4,27.0,1108.0,8.3
2014/03/17,1.8,10.9,6.7,15.0,1133.0,8.8
2014/03/18,0.0,12.0,5.4,10.0,1366.0,8.7
2014/03/19,4.0,13.5,5.3,103.0,1868.0,9.4
2014/03/20,7.0,10.0,7.3,117.0,1900.0,8.65
2014/03/21,5.6,9.0,1.4,108.0,1955.0,5.2
2014/03/22,1.9,7.1,-0.3,82.0,1832.0,3.4
2014/03/23,0.2,9.8,1.0,218.0,1294.0,5.4
2014/03/24,18.1,8.5,3.2,362.0,1155.0,5.85
2014/03/25,1.1,11.0,3.3,326.0,2173.0,7.15
2014/03/26,0.3,11.6,2.3,197.0,2148.0,6.949999999999999
2014/03/27,0.8,7.5,1.1,209.0,2080.0,4.3
2014/03/28,5.9,10.2,1.3,186.0,2073.0,5.75
2014/03/29,25.0,8.5,3.4,119.0,1897.0,5.95
2014/03/30,2.0,11.1,2.9,74.0,1116.0,7.0
2014/03/31,0.1,12.0,6.2,49.0,1030.0,9.1
2014/04/01,3.3,11.5,4.5,95.0,1487.0,8.0
2014/04/02,2.9,10.9,7.2,232.0,2273.0,9.05
2014/04/03,0.4,12.3,7.9,243.0,2179.0,10.100000000000001
2014/04/04,2.5,14.0,7.0,186.0,2054.0,10.5
