Date,Rainfall (mm),Max Temp (°C),Min Temp (°C)
01-Oct-84,12.5, , 
02-Oct-84,0.5, , 
03-Oct-84,0, , 
04-Oct-84,0, , 
05-Oct-84,0, , 
06-Oct-84,0, , 
07-Oct-84,1.2, , 
08-Oct-84,1.8, , 
09-Oct-84,0, , 
10-Oct-84,0.2, , 
11-Oct-84,0, , 
12-Oct-84,0, , 
13-Oct-84,0, , 
14-Oct-84,0, , 
15-Oct-84,0, , 
16-Oct-84,0, , 
17-Oct-84,8.6, , 
18-Oct-84,8.2, , 
19-Oct-84,3.3, , 
20-Oct-84,0, , 
21-Oct-84,17.5, , 
22-Oct-84,11.7, , 
23-Oct-84,5.7, , 
24-Oct-84,3.7, , 
25-Oct-84,0.2, , 
26-Oct-84,0.5, , 
27-Oct-84,0, , 
28-Oct-84,2.9, , 
29-Oct-84,1.6, , 
30-Oct-84,0.2, , 
31-Oct-84,6.8, , 
01-Nov-84,14.6, , 
02-Nov-84,0, , 
03-Nov-84,0, , 
04-Nov-84,0, , 
05-Nov-84,0, , 
06-Nov-84,0, , 
07-Nov-84,25, , 
08-Nov-84,7.5, , 
09-Nov-84,0.6, , 
10-Nov-84,9.5, , 
11-Nov-84,3.5, , 
12-Nov-84,0.6, , 
13-Nov-84,10.4, , 
14-Nov-84,0.6, , 
15-Nov-84,3.1, , 
16-Nov-84,0, , 
17-Nov-84,0, , 
18-Nov-84,0, , 
19-Nov-84,0, , 
20-Nov-84,9.2, , 
21-Nov-84,15.7, , 
22-Nov-84,6.3, , 
23-Nov-84,1.4, , 
24-Nov-84,0, , 
25-Nov-84,1, , 
26-Nov-84,3.1, , 
27-Nov-84,8, , 
28-Nov-84,0, , 
29-Nov-84,10.1, , 
30-Nov-84,8, , 
01-Dec-84,0, , 
02-Dec-84,3.1, , 
03-Dec-84,0.7, , 
04-Dec-84,9, , 
05-Dec-84,0.1, , 
06-Dec-84,0, , 
07-Dec-84,0, , 
08-Dec-84,0, , 
09-Dec-84,0, , 
10-Dec-84,1.3, , 
11-Dec-84,0, , 
12-Dec-84,1.9, , 
13-Dec-84,7.2, , 
14-Dec-84,8.7, , 
15-Dec-84,0, , 
16-Dec-84,6.3, , 
17-Dec-84,2.9, , 
18-Dec-84,9.3, , 
19-Dec-84,6.3, , 
20-Dec-84,0, , 
21-Dec-84,4.7, , 
22-Dec-84,0, , 
23-Dec-84,8.2, , 
24-Dec-84,2.6, , 
25-Dec-84,1.3, , 
26-Dec-84,0.8, , 
27-Dec-84,0.2, , 
28-Dec-84,7.4, , 
